Team,DraftKings,FanDuel,BetRivers,Bovada,BetMGM,last_updated
Spain,6.0,6.5,6.5,6.5,5.5,2025-06-22 19:25:18 CDT
France,7.0,6.5,7.0,7.5,7.0,2025-06-22 19:25:18 CDT
Brazil,7.5,7.0,7.0,7.0,8.0,2025-06-22 19:25:18 CDT
England,8.0,7.5,8.0,8.0,8.0,2025-06-22 19:25:18 CDT
Argentina,9.0,9.0,9.0,9.0,9.0,2025-06-22 19:25:18 CDT
Germany,12.0,10.0,12.0,11.0,11.0,2025-06-22 19:25:18 CDT
Portugal,13.0,13.0,12.0,13.0,13.0,2025-06-22 19:25:18 CDT
Netherlands,21.0,19.0,21.0,21.0,19.0,2025-06-22 19:25:18 CDT
Italy,26.0,24.0,31.0,26.0,26.0,2025-06-22 19:25:18 CDT
Uruguay,31.0,27.0,41.0,41.0,34.0,2025-06-22 19:25:18 CDT
Belgium,36.0,30.0,34.0,34.0,41.0,2025-06-22 19:25:18 CDT
Colombia,36.0,51.0,51.0,51.0,34.0,2025-06-22 19:25:18 CDT
USA,41.0,35.0,51.0,51.0,41.0,2025-06-22 19:25:18 CDT
Croatia,66.0,45.0,67.0,67.0,67.0,2025-06-22 19:25:18 CDT
Mexico,66.0,45.0,67.0,67.0,51.0,2025-06-22 19:25:18 CDT
Denmark,66.0,51.0,67.0,67.0,67.0,2025-06-22 19:25:18 CDT
Norway,66.0,66.0,67.0,51.0,51.0,2025-06-22 19:25:18 CDT
Switzerland,81.0,51.0,101.0,101.0,81.0,2025-06-22 19:25:18 CDT
Morocco,81.0,51.0,101.0,101.0,67.0,2025-06-22 19:25:18 CDT
Japan,101.0,66.0,101.0,101.0,101.0,2025-06-22 19:25:18 CDT
Sweden,81.0,101.0,151.0,151.0,,2025-06-22 19:21:51 CDT
Canada,101.0,86.0,151.0,151.0,101.0,2025-06-22 19:25:18 CDT
Senegal,151.0,86.0,151.0,151.0,101.0,2025-06-22 19:25:18 CDT
Paraguay,201.0,231.0,151.0,101.0,201.0,2025-06-22 19:25:18 CDT
Ecuador,151.0,101.0,201.0,151.0,151.0,2025-06-22 19:25:18 CDT
Serbia,101.0,101.0,101.0,101.0,151.0,2025-06-22 19:25:18 CDT
Algeria,151.0,,201.0,201.0,101.0,2025-06-22 19:25:18 CDT
Chile,151.0,121.0,,,,2025-06-22 18:50:32 CDT
Nigeria,201.0,,201.0,201.0,151.0,2025-06-22 19:25:18 CDT
Ghana,201.0,421.0,151.0,151.0,201.0,2025-06-22 19:25:18 CDT
Ukraine,151.0,231.0,201.0,201.0,251.0,2025-06-22 19:25:18 CDT
Ivory Coast,,,,,151.0,2025-06-22 19:25:18 CDT
Egypt,151.0,,151.0,151.0,151.0,2025-06-22 19:25:18 CDT
Turkey,151.0,231.0,201.0,201.0,151.0,2025-06-22 19:25:18 CDT
South Korea,151.0,191.0,151.0,151.0,151.0,2025-06-22 19:25:18 CDT
Czech Republic,,,501.0,501.0,201.0,2025-06-22 19:25:18 CDT
Peru,501.0,1001.0,501.0,,201.0,2025-06-22 19:25:18 CDT
Poland,251.0,231.0,201.0,201.0,251.0,2025-06-22 19:25:18 CDT
Hungary,251.0,321.0,501.0,501.0,201.0,2025-06-22 19:25:18 CDT
Cameroon,201.0,341.0,251.0,251.0,251.0,2025-06-22 19:25:18 CDT
Georgia,251.0,421.0,501.0,,,2025-06-22 19:21:05 CDT
Slovakia,251.0,,501.0,501.0,251.0,2025-06-22 19:25:18 CDT
Greece,251.0,421.0,251.0,251.0,251.0,2025-06-22 19:25:18 CDT
Venezuela,251.0,,251.0,,501.0,2025-06-22 19:25:18 CDT
Tunisia,251.0,421.0,501.0,501.0,501.0,2025-06-22 19:25:18 CDT
Scotland,501.0,281.0,501.0,501.0,251.0,2025-06-22 19:25:18 CDT
Romania,501.0,421.0,501.0,501.0,251.0,2025-06-22 19:25:18 CDT
Bosnia & Herzegovina,,,,,251.0,2025-06-22 19:25:18 CDT
Wales,501.0,321.0,501.0,251.0,501.0,2025-06-22 19:25:18 CDT
Australia,501.0,341.0,501.0,501.0,501.0,2025-06-22 19:25:18 CDT
Israel,501.0,,501.0,401.0,501.0,2025-06-22 19:25:18 CDT
UAE,1001.0,421.0,1001.0,1001.0,501.0,2025-06-22 19:25:18 CDT
Costa Rica,1001.0,421.0,1001.0,1001.0,501.0,2025-06-22 19:25:18 CDT
Saudi Arabia,1001.0,421.0,1001.0,1001.0,501.0,2025-06-22 19:25:18 CDT
Republic of Ireland,,421.0,1001.0,1001.0,,2025-06-22 19:21:51 CDT
Iran,501.0,421.0,501.0,501.0,501.0,2025-06-22 19:25:18 CDT
North Macedonia,,,1001.0,,501.0,2025-06-22 19:25:18 CDT
Iceland,1001.0,,,,501.0,2025-06-22 19:25:18 CDT
Bolivia,,,501.0,,501.0,2025-06-22 19:25:18 CDT
Montenegro,,,,,501.0,2025-06-22 19:25:18 CDT
New Zealand,1001.0,1001.0,1001.0,1001.0,501.0,2025-06-22 19:25:18 CDT
China,1001.0,851.0,501.0,,,2025-06-22 19:21:05 CDT
Bulgaria,1001.0,,1001.0,,501.0,2025-06-22 19:25:18 CDT
Qatar,1001.0,1001.0,1001.0,1001.0,501.0,2025-06-22 19:25:18 CDT
South Africa,1001.0,,501.0,501.0,501.0,2025-06-22 19:25:18 CDT
Finland,1001.0,,1001.0,1001.0,501.0,2025-06-22 19:25:18 CDT
Honduras,1001.0,,1001.0,,501.0,2025-06-22 19:25:18 CDT
Panama,501.0,,751.0,751.0,501.0,2025-06-22 19:25:18 CDT
Albania,,,,,501.0,2025-06-22 19:25:18 CDT
Slovenia,501.0,,501.0,,501.0,2025-06-22 19:25:18 CDT
Northern Ireland,1001.0,1001.0,1001.0,1001.0,501.0,2025-06-22 19:25:18 CDT
Kosovo,,,,,501.0,2025-06-22 19:25:18 CDT
Jamaica,1001.0,,1001.0,1001.0,1001.0,2025-06-22 19:25:18 CDT
DR Congo,,,1001.0,,,2025-06-22 19:21:05 CDT
